date,ticker,open,high,low,close
2022/8/1,DOGE,0.069965,0.0712604,0.0668957,0.0680444
2022/9/1,DOGE,0.0621564,0.062623,0.059896,0.0621903
2022/10/1,DOGE,0.0612881,0.063098,0.06026,0.060767
2022/11/1,DOGE,0.124302,0.148671,0.124238,0.140166
2022/12/1,DOGE,0.108304,0.109538,0.100367,0.101771
2023/1/1,DOGE,0.0702269,0.0707791,0.0690413,0.0700521
2023/2/1,DOGE,0.0957276,0.0970919,0.0882309,0.0937956
2023/3/1,DOGE,0.0808972,0.0828466,0.0803122,0.0818206
2023/4/1,DOGE,0.0764243,0.083315,0.0759643,0.0816404
2023/5/1,DOGE,0.0799846,0.0801635,0.0774864,0.0787015
2023/6/1,DOGE,0.0714924,0.0722016,0.0707256,0.0718418
2023/7/1,DOGE,0.0657966,0.071257,0.065788,0.068629
2023/8/1,DOGE,0.0777858,0.0782424,0.0752737,0.0772416
2023/9/1,DOGE,0.0632108,0.0642027,0.062391,0.063516
2023/10/1,DOGE,0.0623215,0.0628679,0.0617262,0.0620258
2023/11/1,DOGE,0.0681496,0.0696717,0.0657201,0.0686433
2023/12/1,DOGE,0.0833332,0.085116,0.0822646,0.0836424
2024/1/1,DOGE,0.0889188,0.092124,0.088493,0.0916564
2024/2/1,DOGE,0.0788558,0.0798368,0.0773236,0.079177
2024/3/1,DOGE,0.116699,0.145702,0.116619,0.139758
2024/4/1,DOGE,0.218286,0.221174,0.197,0.204298
2024/5/1,DOGE,0.132098,0.134338,0.119906,0.128557
2024/6/1,DOGE,0.15966,0.161489,0.158188,0.160817
2024/7/1,DOGE,0.123018,0.127292,0.122718,0.124372
2024/8/1,DOGE,0.122236,0.12282,0.112192,0.117743
2024/9/1,DOGE,0.10166,0.101711,0.0968355,0.0981723
2024/10/1,DOGE,0.117822,0.119302,0.102581,0.107532
2024/11/1,DOGE,0.161765,0.16841,0.15407,0.157971
2024/12/1,DOGE,0.421509,0.449992,0.416667,0.442696
2025/2/1,DOGE,0.327635,0.332164,0.305097,0.307886
2025/3/1,DOGE,0.200689,0.208834,0.1992,0.206546
2020/8/21,DOT,2.913,3.011,2.82,2.957
2020/9/21,DOT,4.645,4.688,3.927,4.069
2020/10/21,DOT,3.907,4.257,3.898,4.142
2020/11/21,DOT,5.221,5.802,5.122,5.766
2020/12/21,DOT,5.186,5.445,4.782,4.87
2021/1/21,DOT,18,18.13,14.99,15.97
2021/2/21,DOT,38.94,40.55,38.05,39.58
2021/3/21,DOT,37.24,38.09,36.11,36.69
2021/4/21,DOT,35.48,36.27,33.07,33.78
2021/5/21,DOT,29.03,31.04,20.07,24.47
2021/6/21,DOT,20.63,20.81,15.38,15.74
2021/7/21,DOT,10.96,12.86,10.68,12.33
2021/8/21,DOT,28.14,29.38,27.52,27.88
2021/9/21,DOT,28.3,30.36,25.61,26.36
2021/10/21,DOT,44.41,45.53,41.99,42.84
2021/11/21,DOT,41.87,43.6,40.68,43.03
2021/12/21,DOT,24.0996,25.6002,23.7471,25.5702
2022/1/21,DOT,23.5647,23.5747,19.1157,19.6359
2022/2/21,DOT,17.1686,17.7471,16.1264,16.3282
2022/3/21,DOT,18.7575,19.0695,18.4274,18.7375
2022/4/21,DOT,19.1138,19.6839,18.4537,18.5518
2022/5/21,DOT,9.6584,10.0869,9.45864,9.86716
2022/6/21,DOT,7.71151,8.26338,7.62161,7.79142
2022/7/21,DOT,7.62798,7.62926,7.18552,7.52868
2022/8/21,DOT,7.18406,7.52117,7.17117,7.45918
2022/9/21,DOT,6.23752,6.57076,6.0225,6.0602
2022/10/21,DOT,5.87311,5.89957,5.73956,5.84037
2022/11/21,DOT,5.31297,5.31301,5.07425,5.20489
2022/12/21,DOT,4.60288,4.62159,4.4459,4.47292
2023/1/21,DOT,6.19041,6.46353,6.02133,6.27786
2023/2/21,DOT,7.5297,7.57211,7.12325,7.1987
2023/3/21,DOT,6.14876,6.47401,6.02802,6.36494
2023/4/21,DOT,6.09553,6.17109,5.78176,5.80726
2023/5/21,DOT,5.41567,5.43619,5.25543,5.28607
2023/6/21,DOT,4.6349,4.8601,4.61935,4.78684
